,name,Model_Name,Size,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area
0,AMM,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",81.03715971,0.192866236,5.184940722,4508.879563,37589.7009,8.50E-05,324.3898946,2.62E-07
1,AMM,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",51.1622221,0.000408549,2447.689679,35.0934244,37589.7009,0.019821354,324.3898946,6.11E-05
2,AMM,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",69.45542646,0.000770299,1298.196459,67.48187157,37589.7009,0.010369443,324.3898946,3.20E-05
3,AMM,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",98.97736721,0.025827619,38.71824127,459.5943076,37589.7009,0.000699082,324.3898946,2.16E-06
4,AMM,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",83.49459385,0.000680278,1469.988279,51.49692998,37589.7009,0.012975494,324.3898946,4.00E-05
5,AMM,Xception,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 30, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMM'}]",88.4781959,0.027926608,35.80814458,993.2155165,37589.7009,0.000489484,324.3898946,1.51E-06
,AMM,Average,large,,89.49757427,0.082206821,26.57044219,1987.229796,37589.7009,0.000424537,324.3898946,1.30872E-06
,AMM,Average,small,,68.03741414,0.000619708,1738.624806,51.35740865,37589.7009,0.014388763,324.3898946,4.43564E-05
6,HOLY_LIGHT,EfficientNet_B7,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",65.95395184,8.815940538,0.113430892,2161.373481,14341.31611,7.78E-06,324.0086412,2.40E-08
7,HOLY_LIGHT,MobileNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",36.62192743,0.034579015,28.91927381,20.61132399,14341.31611,0.001936034,324.0086412,5.98E-06
8,HOLY_LIGHT,NASNetMobile,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",49.72470051,0.014781846,67.65054808,38.69932885,14341.31611,0.003988983,324.0086412,1.23E-05
9,HOLY_LIGHT,ResNet50,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",95.18486024,0.361669968,2.764951718,218.9199315,14341.31611,0.000184988,324.0086412,5.71E-07
10,HOLY_LIGHT,ShuffleNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",73.28505806,0.038181972,26.19037064,32.65806363,14341.31611,0.001723431,324.0086412,5.32E-06
11,HOLY_LIGHT,Xception,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 12, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'HOLY_LIGHT'}]",79.03333101,1.075397406,0.929888797,465.6518863,14341.31611,6.29E-05,324.0086412,1.94E-07
,HOLY_LIGHT,Average,large,,80.05738103,3.417669304,1.269423803,948.6484329,14341.31611,8.52348E-05,324.0086412,2.63063E-07
,HOLY_LIGHT,Average,small,,53.210562,0.029180944,40.92006417,30.65623883,14341.31611,0.002549483,324.0086412,7.86856E-06
12,RAMM,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",78.89378348,0.192471888,5.19556394,4521.107072,27791.99985,0.000101314,316.0149383,3.21E-07
13,RAMM,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",64.66539649,0.000408621,2447.252969,35.44662098,27791.99985,0.021366139,316.0149383,6.76E-05
14,RAMM,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",71.38025746,0.000822237,1216.194543,67.78943203,27791.99985,0.01103253,316.0149383,3.49E-05
15,RAMM,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",83.01327572,0.025975136,38.49835431,459.5943076,27791.99985,0.000846385,316.0149383,2.68E-06
16,RAMM,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",77.9135881,0.000698701,1431.226676,51.59030369,27791.99985,0.014082799,316.0149383,4.46E-05
17,RAMM,Xception,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 20, 'reconfig': [9, 16, 25], 'vdp_type': 'AMM', 'name': 'RAMM'}]",83.20297592,0.027824886,35.93905091,994.9825844,27791.99985,0.000565518,316.0149383,1.79E-06
,RAMM,Average,large,,81.70334504,0.082090637,26.54432305,1991.894655,27791.99985,0.000504406,316.0149383,1.59614E-06
,RAMM,Average,small,,71.31974735,0.000643187,1698.22473,51.60878556,27791.99985,0.015493823,316.0149383,4.90288E-05
18,RAMM_V2,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",82.43956415,0.192244453,5.201710563,4521.106669,30007.88413,9.72E-05,316.7900743,3.07E-07
19,RAMM_V2,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",58.44170403,0.00041616,2402.92403,35.32678499,30007.88413,0.020914002,316.7900743,6.60E-05
20,RAMM_V2,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",74.58835892,0.000806107,1240.529734,67.78943203,30007.88413,0.010872046,316.7900743,3.43E-05
21,RAMM_V2,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.74420946,0.025941577,38.54815714,459.5943076,30007.88413,0.000807724,316.7900743,2.55E-06
22,RAMM_V2,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",81.4153224,0.000689991,1449.293328,51.59030369,30007.88413,0.013832122,316.7900743,4.37E-05
23,RAMM_V2,Xception,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 22, 'reconfig': [9, 25], 'vdp_type': 'AMM', 'name': 'RAMM_V2'}]",86.94243551,0.027802669,35.96776934,994.9825844,30007.88413,0.000546663,316.7900743,1.73E-06
,RAMM_V2,Average,large,,85.37540304,0.081996233,26.57254568,1991.89452,30007.88413,0.000483856,316.7900743,1.52737E-06
,RAMM_V2,Average,small,,71.48179512,0.000637419,1697.582364,51.56884024,30007.88413,0.015206057,316.7900743,4.80004E-05
24,RAMM_V3,EfficientNet_B7,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",81.11466322,0.192566659,5.193006958,4516.41616,32492.16175,9.28E-05,317.4149216,2.92E-07
25,RAMM_V3,MobileNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",60.48036813,0.000406567,2459.619219,35.32678499,32492.16175,0.020602828,317.4149216,6.49E-05
26,RAMM_V3,NASNetMobile,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",71.13633914,0.000807915,1237.754612,67.65818301,32492.16175,0.010648598,317.4149216,3.35E-05
27,RAMM_V3,ResNet50,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",89.77017026,0.025916299,38.58575586,459.5943076,32492.16175,0.000768243,317.4149216,2.42E-06
28,RAMM_V3,ShuffleNet_V2,small,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",84.25539178,0.000687953,1453.587704,51.59030369,32492.16175,0.01352386,317.4149216,4.26E-05
29,RAMM_V3,Xception,large,"[{'element_size': 78, 'element_count': 78, 'units_count': 24, 'reconfig': [9], 'vdp_type': 'AMM', 'name': 'RAMM_V3'}]",89.97531117,0.027782874,35.993396,994.9825844,32492.16175,0.000526951,317.4149216,1.66E-06
,RAMM_V3,Average,large,,86.95338155,0.082088611,26.59071961,1990.331017,32492.16175,0.000462672,317.4149216,1.45763E-06
,RAMM_V3,Average,small,,71.95736635,0.000634145,1716.987178,51.52509056,32492.16175,0.014925096,317.4149216,4.70208E-05
30,RMAM,EfficientNet_B7,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",59.30057322,11.7146627,0.085363107,2182.584867,10646.88759,7.88E-06,315.6055203,2.50E-08
31,RMAM,MobileNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",47.36027748,0.045444065,22.0050737,25.32991775,10646.88759,0.001963989,315.6055203,6.22E-06
32,RMAM,NASNetMobile,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",51.7343329,0.020870755,47.91393559,47.48232548,10646.88759,0.003707949,315.6055203,1.17E-05
33,RMAM,ResNet50,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",67.09752443,0.533945113,1.872851677,218.9199315,10646.88759,0.000169383,315.6055203,5.37E-07
34,RMAM,ShuffleNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",62.71280403,0.055888272,17.89284147,35.98317815,10646.88759,0.001584737,315.6055203,5.02E-06
35,RMAM,Xception,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 8, 'reconfig': [9, 16, 25], 'vdp_type': 'MAM', 'name': 'RMAM'}]",68.35461958,1.506277147,0.66388845,479.2582629,10646.88759,6.05E-05,315.6055203,1.92E-07
,RMAM,Average,large,,64.91757241,4.584961652,0.874034411,960.2543538,10646.88759,7.92696E-05,315.6055203,2.51167E-07
,RMAM,Average,small,,53.9358048,0.040734364,29.27061692,36.26514046,10646.88759,0.002418892,315.6055203,7.66429E-06
36,RMAM_v2,EfficientNet_B7,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 9, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",64.98070758,10.49570031,0.095277111,2182.539266,11816.81678,7.92E-06,321.1609436,2.47E-08
37,RMAM_v2,MobileNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 9, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",44.05826425,0.04172649,23.96559122,25.32320024,11816.81678,0.001929022,321.1609436,6.01E-06
38,RMAM_v2,NASNetMobile,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 9, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",56.6909157,0.018519005,53.99858267,47.48232548,11816.81678,0.003754909,321.1609436,1.17E-05
39,RMAM_v2,ResNet50,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 9, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",73.52602976,0.475267453,2.104078439,218.9199315,11816.81678,0.000171378,321.1609436,5.34E-07
40,RMAM_v2,ShuffleNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 9, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",68.72121639,0.049700972,20.12033074,35.98317815,11816.81678,0.001604388,321.1609436,5.00E-06
41,RMAM_v2,Xception,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 9, 'reconfig': [9, 25], 'vdp_type': 'MAM', 'name': 'RMAM_v2'}]",74.90356517,1.340039357,0.746246739,479.2582629,11816.81678,6.13E-05,321.1609436,1.91E-07
,RMAM_v2,Average,large,,71.1367675,4.10366904,0.98186743,960.2391535,11816.81678,8.0199E-05,321.1609436,2.49716E-07
,RMAM_v2,Average,small,,56.49013211,0.036648822,32.69483488,36.26290129,11816.81678,0.00242944,321.1609436,7.56456E-06
42,RMAM_v3,EfficientNet_B7,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 10, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",62.96823376,10.02520465,0.099748587,2168.40579,13303.19072,7.38E-06,331.0542904,2.23E-08
43,RMAM_v3,MobileNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 10, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",46.86452312,0.037501152,26.66584717,25.32320024,13303.19072,0.001907639,331.0542904,5.76E-06
44,RMAM_v3,NASNetMobile,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 10, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",51.63313474,0.01710752,58.45382694,44.06226812,13303.19072,0.00368125,331.0542904,1.11E-05
45,RMAM_v3,ResNet50,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 10, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",78.20921637,0.429372594,2.328979569,218.9199315,13303.19072,0.000168607,331.0542904,5.09E-07
46,RMAM_v3,ShuffleNet_V2,small,"[{'element_size': 128, 'element_count': 128, 'units_count': 10, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",73.09836393,0.044668913,22.38693362,35.98317815,13303.19072,0.001586742,331.0542904,4.79E-06
47,RMAM_v3,Xception,large,"[{'element_size': 128, 'element_count': 128, 'units_count': 10, 'reconfig': [9], 'vdp_type': 'MAM', 'name': 'RMAM_v3'}]",79.67449289,1.211415544,0.825480575,479.2582629,13303.19072,6.03E-05,331.0542904,1.82E-07
,RMAM_v3,Average,large,,73.61731434,3.888664262,1.084736244,955.5279947,13303.19072,7.87482E-05,331.0542904,2.37871E-07
,RMAM_v3,Average,small,,57.19867393,0.033092529,35.83553591,35.12288217,13303.19072,0.002391877,331.0542904,7.22503E-06
,CROSS_LIGHT,MobileNet_V2,small,"[{'element_size': 10, 'element_count': 20, 'units_count': 310, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 170, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",95.55869388,0.027062954,36.9508818,44.10582247,377402.8142,9.75E-05,314.7549253,3.10E-07
,CROSS_LIGHT,NASNetMobile,small,"[{'element_size': 10, 'element_count': 20, 'units_count': 310, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 170, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",95.98326317,0.05526108,18.09591853,91.15936579,377402.8142,4.77E-05,314.7549253,1.52E-07
,CROSS_LIGHT,ShuffleNet_V2,small,"[{'element_size': 10, 'element_count': 20, 'units_count': 310, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 170, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.85238043,0.098729376,10.12869769,118.3610445,377402.8142,2.68E-05,314.7549253,8.50E-08
,CROSS_LIGHT,Xception,large,"[{'element_size': 10, 'element_count': 20, 'units_count': 310, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 170, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.1704949,2.076557146,0.481566328,1601.189681,377402.8142,1.27E-06,314.7549253,4.05E-09
,CROSS_LIGHT,ResNet50,large,"[{'element_size': 10, 'element_count': 20, 'units_count': 310, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 170, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",98.2153742,0.926804179,1.078976576,685.5608604,377402.8142,2.85E-06,314.7549253,9.07E-09
,CROSS_LIGHT,EfficientNet_B7,large,"[{'element_size': 10, 'element_count': 20, 'units_count': 310, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}, {'element_size': 15, 'element_count': 30, 'units_count': 170, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'CROSS_LIGHT'}]",99.3003869,8.062632619,0.124028968,6266.585433,377402.8142,3.28E-07,314.7549253,1.04E-09
,CROSS_LIGHT,Average,large,,98.89541867,3.688664648,0.561523957,2851.111992,377402.8142,1.48491E-06,314.7549253,4.71766E-09
,CROSS_LIGHT,Average,small,,96.79811249,0.060351136,21.72516601,84.54207758,377402.8142,5.73267E-05,314.7549253,1.82131E-07
